Collection Title,Unit Title,Unit Date,Container Type,Container Number,Extent
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Biographies. 1962.,1962.,folder,28,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Broadcast Ads Newspapers. 1930 - 1941.,1930 - 1941.,folder,29,12 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Broadcast Advertising Policies. 1930 - 1945.,1930 - 1945.,folder,30,20 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Broadcast Advertising. 1922 - 1956.,1922 - 1956.,folder,31,30 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Broadcast Pioneers Reference Library Progress Report 1968.,,folder,32,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Budget Television 1941.,,folder,33,13 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Budget Television 1940.,,folder,34,27 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Budget Television 1939.,,folder,35,40 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Budget Television 1937-38.,,folder,36,14 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Budget Television 1930-36.,,folder,37,31 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Budgets. 1933 - 1961.,1933 - 1961.,,,113 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Canadian Group. 1937 - 1938.,1937 - 1938.,folder,39,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","NBC Charter Stations Nov 15, 1926.",,folder,40,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Chimes. 1933 - 1978.,1933 - 1978.,folder,41,57 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Coaxial Cable. 1947 - 1949.,1947 - 1949.,folder,42,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television. 1953 - 1965.,1953 - 1965.,folder,43,52 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television History. 1962 - 1965.,1962 - 1965.,folder,44,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television. 1954.,1954.,folder,45,10 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television 1953.,,folder,46,29 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television 1951.,,folder,47,8 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television 1950.,,folder,48,11 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","Color Television FCC Decision, Oct. 1950.",,folder,49, 46 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","Color Television FCC Decision, Jan. 1950.",,folder,50,10 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television 1949.,,folder,51,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television FCC Hearing 1949.,,folder,52,48 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television FCC Hearing 1947.,,folder,53,9 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",RMA Sub-Committee on Color Television 1941-46.,,folder,54,49 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Color Television 1940-46.,,folder,55,34 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Commentator Walter Winchell. 1934 - 1941.,1934 - 1941.,folder,56,25 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Committees Television. 1935.,1935.,folder,57,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Committees -- Television: Coordination Committee On Television & Broadcast Facsimile 1936.,,folder,58,18 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Committees Television: Coordination Committee on Television & Broadcast Facsimile 1935,,folder,59,18 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Commissions to Artists Service. 1939.,1939.,folder,60,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Contests And Offers Television. 1939.,1939.,folder,61,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Continuity Acceptance Department 1936.,,folder,62,24 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Continuity Acceptance Department 1935.,,folder,63,
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Continuity Acceptance Department Authorities. 1934 - 1947.,1934 - 1947.,folder,64,11 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Controllers Department 3-6-42. 1942 - 1946.,1942 - 1946.,folder,65,3 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","Copyright and Legislation. February 19, 1935 - January 10, 1945.","February 19, 1935 - January 10, 1945.",folder,66,45 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Courts; Trials; Legal Advice; Legal Profession Television. 1938.,1938.,folder,67,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","Days of Our Lives 20th Anniversary, 1985.",,folder,68,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Demonstrations Television. 1936 - 1940.,1936 - 1940.,folder,69,2 items: 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Elections Guest List...1940.,,folder,70,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Employees. 1946.,1946.,folder,71,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Employees Fees for Special Services. 1941.,1941.,folder,72,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Employees Medical examination. 1932.,1932.,folder,73,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Employees Purchases. 1940 - 1941.,1940 - 1941.,folder,74,3 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Employees Training courses (Television). 1940 - 1943.,1940 - 1943.,folder,75,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Employees Vacations and leaves of absence. 1940.,1940.,folder,76,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Engineering Department. 1931 - 1948.,1931 - 1948.,folder,77,31 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Engineering Department Authorities. 1933 - 1942.,1933 - 1942.,folder,78,9 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Engineering and Technology. 1932 - 1985.,1932 - 1985.,folder,79,47 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Engineering & Technology TV demonstrations 1936-37.,,folder,80,11 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Equipment Television. 1931 - 1946.,1931 - 1946.,folder,81,7 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Evening General Manager. 1933 - 1937.,1933 - 1937.,folder,82,11 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Executive Authorities 7-12-40. 1940 - 1949.,1940 - 1949.,folder,83,13 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","NBC Executive Duties and Responsibilities, Statements. [194?].",[194?].,folder,84,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Executive Manager of Transportation 6-22-43. 1943 - 1945.,1943 - 1945.,folder,85,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Executive Night Executive Officer 9-28-45. 1945 - 1948.,1945 - 1948.,folder,86,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Executive Offices 7-12-40. 1940 - 1949.,1940 - 1949.,folder,87,16 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",NBC Executive Order 1932.,,folder,88, 1 item.
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",NBC Executives. 1986.,1986.,folder,89,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Executives Past. 1959 - 1981.,1959 - 1981.,folder,90,67 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Historical Facts and Figures (1 of 3). 1923 - 1961.,1923 - 1961.,folder,91,55 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Historical Facts and Figures (2 of 3). 1922 - 1948.,1922 - 1948.,folder,92,12 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Historical Facts and Figures (3 of 3). 1923 - 1988.,1923 - 1988.,folder,93,9 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Historical Facts Radio & TV. 1960 - 1988.,1960 - 1988.,folder,94,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Facts and Figures Television. 1944 - 1989.,1944 - 1989.,folder,95,10 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division","NBC ""Firsts"" Facts and Figures. 1922 - 1988.",1922 - 1988.,folder,96,80 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Fashion Programs Television. 1941.,1941.,folder,97,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",FCC. 1970 - 1973.,1970 - 1973.,folder,98,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Film. 1933 - 1953.,1933 - 1953.,folder,99,15 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Film & Television Archives CBS/MOB (Archives). 1984 - 1985.,1984 - 1985.,folder,100,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Film Clearance. 1936 - 1941.,1936 - 1941.,folder,101,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Film Contracts. 1938 - 1940.,1938 - 1940.,folder,102,6 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Film Newsreels. 1941.,1941.,folder,103, 1 item.
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Film Routine For Handling & Storage. 1931 - 1939.,1931 - 1939.,folder,104,6 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Film Royalty rates. 1941.,1941.,folder,105, 1 item
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Finance Department 11/24/42. 1942 -1949.,1942 -1949.,folder,106,7 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Finance Department Authorities 11/24/42. 1945 - 1947.,1945 - 1947.,folder,107,3 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Fire. 1935 - 1940.,1935 - 1940.,folder,108,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",GE / RCA Merger. 1986.,1986.,folder,109,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department. 1935 - 1948.,1935 - 1948.,folder,110,31 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Authorities. 1934 - 1940.,1934 - 1940.,folder,111,16 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Building Maintenance Division. 1935 - 1948.,1935 - 1948.,folder,112,6 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Central Files. 1937 - 1948.,1937 - 1948.,folder,113,15 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Central Files Central Files Manual 1950-.,,folder,114,4 items.
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Central Files Central Files Manual 1943-.,,folder,115,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Central Files Central Files Manual 1931- .,,folder,116,7 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Central Files Special Jobs. 1939 - 1943.,1939 - 1943.,folder,117,16 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Duplicating & Bindery Section. 1942 - 1946.,1942 - 1946.,folder,118,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department First Aid Section 11/24/42. 1934 - 1942.,1934 - 1942.,folder,119,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Guest Relations Division 1933-42.,,folder,120,14 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Guest Relations Division 1942-49.,,folder,121,13 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Mail & Messenger Section. 1935 - 1946.,1935 - 1946.,folder,122,10 items
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Personnel Division 11/24/42. 1936 - 1942.,1936 - 1942.,folder,123,10 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Stenographic. 1936 - 1947.,1936 - 1947.,folder,1,7 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",General Service Department Supply Room. 1936 - 1949.,1936 - 1949.,folder,125,6 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",NBC History (Miscellaneous). 1922 - 1986.,1922 - 1986.,folder,126,25 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Impostors. 1939.,1939.,folder,127,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Incorporation Blue Network Co.. 1933 - 1945.,1933 - 1945.,folder,128,51 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Incorporation. 1923 - 1933.,1923 - 1933.,folder,129,22 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Information Department 4/27/39. 1938 - 1945.,1938 - 1945.,folder,130,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Information Department Authorities 4-27-39. 1939 - 1942.,1939 - 1942.,folder,131,7 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Information Department Correspondence Division 11-27-41. 1941 - 1942.,1941 - 1942.,folder,132,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Information Department General Library. 1942.,1942.,folder,133,2 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Information Department Information Division. 1939 - 1940.,1939 - 1940.,folder,134,4 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Information Department Press Division. 1939 - 1941.,1939 - 1941.,folder,135,18 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Institutional Promotion Department. 1939 - 1940.,1939 - 1940.,folder,136,3 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Institutional Promotion Authorities. 1937 - 1939.,1937 - 1939.,folder,137,8 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Insurance Television Employees. 1939.,1939.,folder,138,1 item. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Interference Television. 1931 - 1939.,1931 - 1939.,folder,139,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",International Department. 1937 - 1948.,1937 - 1948.,folder,140,10 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",NBC International. 1937 - 1`945.,1937 - 1`945.,folder,141,22 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Interval Plan Television. 1951.,1951.,folder,142,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Kinescope Recording. 1948 - 1952.,1948 - 1952.,folder,143,5 items. 
"NBC: A Finding Aid to the National Broadcasting Company History Files at the Library of Congress, Motion Picture, Broadcasting and Recorded Sound Division",Labor Relations Television. 1942 - 1947.,1942 - 1947.,folder,144,3 items. 
